Z151,240000Z15109,北京西,西宁,BXP,XNO
Z152,880000Z15202,西宁,北京西,XNO,BXP
Z155,0h0000Z15800,哈尔滨西,泰州,VAB,UTH
Z156,5f0000Z15730,泰州,哈尔滨西,UTH,VAB
Z157,5f0000Z15730,泰州,哈尔滨西,UTH,VAB
Z158,0h0000Z15800,哈尔滨西,泰州,VAB,UTH
Z161,240000Z16116,北京西,昆明,BXP,KMM
Z162,800000Z16204,昆明,北京西,KMM,BXP
Z163,880000Z16604,拉萨,上海,LSO,SHH
Z164,550000Z16400,上海,拉萨,SHH,LSO
Z165,550000Z16400,上海,拉萨,SHH,LSO
Z166,880000Z16604,拉萨,上海,LSO,SHH
Z167,490000Z17003,青岛,广州东,QDK,GGQ
Z168,650000Z16804,广州东,青岛,GGQ,QDK
Z169,650000Z16804,广州东,青岛,GGQ,QDK
Z170,490000Z17003,青岛,广州东,QDK,GGQ
Z171,0h0000Z17400,哈尔滨西,上海,VAB,SHH
Z172,550000Z17240,上海,哈尔滨西,SHH,VAB
Z173,550000Z17240,上海,哈尔滨西,SHH,VAB
Z174,0h0000Z17400,哈尔滨西,上海,VAB,SHH
Z175,0h0000Z17803,哈尔滨西,杭州,VAB,HZH
Z176,560000Z17610,杭州,哈尔滨西,HZH,VAB
Z177,560000Z17610,杭州,哈尔滨西,HZH,VAB
Z178,0h0000Z17803,哈尔滨西,杭州,VAB,HZH
Z179,240000Z17907,北京,乌鲁木齐,BJP,WAR
Z180,930000Z18005,乌鲁木齐,北京,WAR,BJP
Z181,330000Z18409,临河,深圳东,LHC,BJQ
Z182,650000Z18207,深圳东,临河,BJQ,LHC
Z183,650000Z18207,深圳东,临河,BJQ,LHC
Z184,330000Z18409,临河,深圳东,LHC,BJQ
Z185,120000Z18806,沈阳北,深圳,SBT,SZQ
Z186,650000Z18605,深圳,沈阳北,SZQ,SBT
Z187,650000Z18605,深圳,沈阳北,SZQ,SBT
Z188,120000Z18806,沈阳北,深圳,SBT,SZQ
Z189,380000Z18903,郑州,广州,ZZF,GZQ
Z190,630000Z19002,广州,郑州,GZQ,ZZF
Z191,120000Z19405,沈阳北,太原,SBT,TYV
Z192,270000Z19204,太原,沈阳北,TYV,SBT
Z193,270000Z19204,太原,沈阳北,TYV,SBT
Z194,120000Z19405,沈阳北,太原,SBT,TYV
Z195,270000Z19804,太原,上海,TYV,SHH
Z196,550000Z19603,上海,太原,SHH,TYV
Z197,550000Z19603,上海,太原,SHH,TYV
Z198,270000Z19804,太原,上海,TYV,SHH
Z201,240000Z2010L,北京西,三亚,BXP,SEQ
Z202,6b0000Z20203,三亚,北京西,SEQ,BXP
Z203,240000Z2030G,北京,哈尔滨东,BJP,VBB
Z204,040000Z20401,大庆东,北京,LFX,BJP
Z205,620000Z20803,长沙,天津,CSQ,TJP
Z206,250000Z20602,天津,长沙,TJP,CSQ
Z207,250000Z20602,天津,长沙,TJP,CSQ
Z208,620000Z20803,长沙,天津,CSQ,TJP
Z215,850000Z21841,兰州,上海,LZJ,SHH
Z216,550000Z21605,上海,兰州,SHH,LZJ
Z217,550000Z21605,上海,兰州,SHH,LZJ
Z218,850000Z21841,兰州,上海,LZJ,SHH
Z225,240000Z22501,北京,合肥,BJP,HFH
Z226,530000Z22701,合肥,北京,HFH,BJP
Z227,530000Z22701,合肥,北京,HFH,BJP
Z228,240000Z22501,北京,合肥,BJP,HFH
Z229,930000Z23201,乌鲁木齐,深圳,WAR,SZQ
Z230,650000Z23002,深圳,乌鲁木齐,SZQ,WAR
Z231,650000Z23002,深圳,乌鲁木齐,SZQ,WAR
Z232,930000Z23201,乌鲁木齐,深圳,WAR,SZQ
Z235,0h0000Z23803,哈尔滨西,广州东,VAB,GGQ
Z236,650000Z23620,广州东,哈尔滨西,GGQ,VAB
Z237,650000Z23620,广州东,哈尔滨西,GGQ,VAB
Z238,0h0000Z23803,哈尔滨西,广州东,VAB,GGQ
Z245,620000Z24501,长沙,上海南,CSQ,SNH
Z246,550000Z24710,上海南,长沙,SNH,CSQ
Z247,550000Z24710,上海南,长沙,SNH,CSQ
Z248,620000Z24501,长沙,上海南,CSQ,SNH
Z251,410000Z25406,西安,上海,XAY,SHH
Z252,550000Z25200,上海,西安,SHH,XAY
Z253,550000Z25200,上海,西安,SHH,XAY
Z254,410000Z25406,西安,上海,XAY,SHH
Z255,770000Z25802,重庆北,上海南,CUW,SNH
Z256,550000Z25710,上海南,重庆北,SNH,CUW
Z257,550000Z25710,上海南,重庆北,SNH,CUW
Z258,770000Z25802,重庆北,上海南,CUW,SNH
Z263,880000Z26605,拉萨,广州,LSO,GZQ
Z263,880000Z26610,西宁,广州,XNO,GZQ
Z264,630000Z26403,广州,拉萨,GZQ,LSO
Z265,630000Z26403,广州,拉萨,GZQ,LSO
Z266,880000Z26605,拉萨,广州,LSO,GZQ
Z266,880000Z26610,西宁,广州,XNO,GZQ
Z267,330000Z26709,呼和浩特东,上海,NDC,SHH
Z268,550000Z26800,上海,呼和浩特东,SHH,NDC
Z269,550000Z26800,上海,呼和浩特东,SHH,NDC
Z270,330000Z26709,呼和浩特东,上海,NDC,SHH
Z271,880000Z27403,西宁,青岛,XNO,QDK
Z272,490000Z27203,青岛,西宁,QDK,XNO
Z273,490000Z27203,青岛,西宁,QDK,XNO
Z274,880000Z27403,西宁,青岛,XNO,QDK
Z275,870000Z27513,银川,北京西,YIJ,BXP
Z276,240000Z27708,北京西,银川,BXP,YIJ
Z277,240000Z27708,北京西,银川,BXP,YIJ
Z278,870000Z27513,银川,北京西,YIJ,BXP
Z281,330000Z2840A,包头,杭州,BTC,HZH
Z282,560000Z28213,杭州,包头,HZH,BTC
Z283,560000Z28213,杭州,包头,HZH,BTC
Z284,330000Z2840A,包头,杭州,BTC,HZH
Z285,240000Z2850A,北京西,南宁,BXP,NNZ
Z286,710000Z28603,南宁,北京西,NNZ,BXP
Z287,5e0000Z29011,宁波,昆明,NGH,KMM
Z288,800000Z28802,昆明,宁波,KMM,NGH
Z289,800000Z28802,昆明,宁波,KMM,NGH
Z290,5e0000Z29011,宁波,昆明,NGH,KMM
Z291,930000Z29402,乌鲁木齐,汉口,WAR,HKN
Z292,390000Z29204,汉口,乌鲁木齐,HKN,WAR
Z293,390000Z29204,汉口,乌鲁木齐,HKN,WAR
Z294,930000Z29402,乌鲁木齐,汉口,WAR,HKN
Z295,330000Z29807,包头,赣州,BTC,GZG
Z296,570000Z29603,赣州,包头,GZG,BTC
Z297,570000Z29603,赣州,包头,GZG,BTC
Z298,330000Z29807,包头,赣州,BTC,GZG
Z307,240000Z30707,北京西,厦门,BXP,XMS
Z308,580000Z30804,厦门,北京西,XMS,BXP
Z315,240000Z31507,北京西,呼和浩特,BXP,HHC
Z316,330000Z31606,呼和浩特,北京西,HHC,BXP
Z317,240000Z31708,北京,包头,BJP,BTC
Z318,330000Z3180A,包头,北京,BTC,BJP
Z319,280000Z31902,大同,包头,DTV,BTC
Z320,330000Z32002,包头,大同,BTC,DTV
